s,label
Q13442814,scholarly article
Q101116078,scoping review
Q104881801,Rapid reviews
Q106712577,Covid-19 passport
Q107079070,EU Digital COVID Certificate
Q107243694,female topic
Q107244961,women in a geographic region
Q107292942,growth of scholarly literature
Q108196115,legal article
Q108552635,Corona proof for entrance
Q108570960,blinded randomized trial
Q108570967,single-blinded randomized trial
Q108570971,double-blinded randomized trial
Q10885494,academic conference paper
Q108883056,vaccine passport during the COVID-19 pandemic
Q109255176,Covid pass
Q110665014,narrative review
Q110716513,scholarly letter/reply
Q113134736,equivalence trial
Q114413783,reply paper
Q115528532,sleeping beauty
Q115546988,prince
Q116740071,Reproducibility Report
Q116740091,CODECHECK
Q121763407,type catalogue
Q1228945,working paper
Q124749433,Megastudy
Q128035468,male topic
Q130554279,Defective and clustered colouring of graphs with given girth
Q130569511,short communication
Q131469925,scoping review
Q1347686,eprint
Q134883744,Wikipedia African American topic
Q134883751,Wikipedia social group topic
Q136909970,The Frome Hoard: How a Massive Find Changes Everything
Q136996059,scholarly poster
Q137174203,conceptual review
Q137174450,critical review
Q137209848,integrative literature review
Q137211242,Narrative literature review
Q137437899,The Evolution of Independent Rap Music in Iran
Q1436668,randomized controlled trial
Q14565201,altmetrics
Q1458153,medical certificate
Q1504425,systematic review
Q1519850,Health Certificate
Q15706459,research article
Q17007303,combinatorial meta-analysis
Q18918145,academic journal article
Q20136634,Wikipedia overview article
Q20402308,women in the Qur'an
Q2106255,postprint
Q22810230,immunity passport
Q2412849,literature review
Q2774197,A-publication
Q2782326,case report
Q28715175,Women in Zoroastrianism
Q2992277,women in the Victorian era
Q3028597,women in the Middle Ages
Q3058662,cluster randomised controlled trial
Q353122,Medical certifications for pilots
Q4220428,Women in Judaism
Q45182324,retracted paper
Q472342,scientometrics
Q51497,Annus Mirabilis papers
Q51983630,living review
Q56478376,expression of concern
Q580922,preprint
Q58898396,classic article
Q58900805,corrected and republished article
Q58901470,historical article
Q58902427,introductory journal article
Q60535861,survey article
Q622820,women in Islam
Q62681870,annual index
Q6822263,meta-regression
Q70470634,network meta-analysis
Q70471362,non-randomized controlled trial report
Q7301211,Realist Evaluation
Q7316896,retraction notice
Q7318358,review article
Q73738851,ZOE Discussion Papers
Q73744145,VÖÖ Discussion Papers
Q77253277,retracted scholarly article
Q8031368,women and smoking
Q815382,meta-analysis
Q82969330,medical scholarly article
Q90490140,BOFIT discussion papers
Q91901000,multicenter study report
Q92998777,opinion paper
Q93003322,research commentary
Q95977810,Journal first Wikipedia-integrated dual publishing
Q95988187,Parallel Wikipedia-integrated dual publishing
Q95988374,scholarly article based on a Wikipedia entry
Q97174349,secondary publication
Q99770806,executable paper
